scenario,world_seed,agent_seed,strategy,n_channels,n_slots,slot_duration_s,total_scans,total_detections,true_positive_scans,false_positive_scans,on_target_scans,redundant_scans,n_activity_intervals,n_detected_intervals,n_missed_intervals,n_missed_never_scanned,n_missed_detector,n_censored_intervals,detection_rate,missed_detection_rate,on_target_scan_rate,scan_efficiency,redundant_scan_rate,mean_detection_delay_slots,median_detection_delay_slots,max_detection_delay_slots,time_to_first_detection_slots,emerging_discovery_delay_slots,emerging_discovery_censored,channels_covered,channel_coverage,coverage_time_slots,mean_decision_latency_ms,mean_detection_delay_s,time_to_first_detection_s,emerging_discovery_delay_s,variant
normal,0,0,adaptive,12,800,0.1,800,318,308,10,315,151,63,29,34,34,0,0,0.4603174603174603,0.5396825396825397,0.39375,0.385,0.18875,3.8275862068965516,2.0,24,2,,False,12,1.0,11,2.284190250647953,0.38275862068965516,0.2,,A_prediction_only
normal,0,0,adaptive,12,800,0.1,800,317,306,11,313,143,63,31,32,32,0,1,0.49206349206349204,0.5079365079365079,0.39125,0.3825,0.17875,3.3225806451612905,2.0,25,2,,False,12,1.0,11,2.2985723750753095,0.33225806451612905,0.2,,B_prediction_exploration
normal,0,0,adaptive,12,800,0.1,800,349,339,10,347,103,63,34,29,29,0,1,0.5396825396825397,0.4603174603174603,0.43375,0.42375,0.12875,4.0,2.0,21,2,,False,12,1.0,11,2.3163038754137233,0.4,0.2,,C_prediction_exploration_freshness
normal,0,0,adaptive,12,800,0.1,800,360,347,13,357,95,63,33,30,30,0,1,0.5238095238095238,0.47619047619047616,0.44625,0.43375,0.11875,3.515151515151515,2.0,21,2,,False,12,1.0,11,2.285492875489581,0.35151515151515156,0.2,,D_prediction_exploration_freshness_trend
normal,0,0,adaptive,12,800,0.1,800,361,351,10,362,94,63,34,29,28,1,1,0.5396825396825397,0.4603174603174603,0.4525,0.43875,0.1175,3.411764705882353,2.5,11,2,,False,12,1.0,11,2.2687684999618796,0.3411764705882353,0.2,,E_full_policy
normal,0,0,adaptive,12,800,0.1,800,355,343,12,352,102,63,30,33,33,0,1,0.47619047619047616,0.5238095238095238,0.44,0.42875,0.1275,3.5,3.5,13,2,,False,12,1.0,11,2.2921453747403575,0.35000000000000003,0.2,,F_full_policy_no_online_feedback
normal,1,1,adaptive,12,800,0.1,800,276,267,9,276,188,63,27,36,36,0,1,0.42857142857142855,0.5714285714285714,0.345,0.33375,0.235,3.888888888888889,2.0,29,2,,False,12,1.0,11,2.255286499748763,0.3888888888888889,0.2,,A_prediction_only
normal,1,1,adaptive,12,800,0.1,800,296,285,11,293,160,63,29,34,34,0,1,0.4603174603174603,0.5396825396825397,0.36625,0.35625,0.2,4.275862068965517,1.0,26,2,,False,12,1.0,11,2.3458217499864986,0.4275862068965517,0.2,,B_prediction_exploration
normal,1,1,adaptive,12,800,0.1,800,316,306,10,314,128,63,28,35,35,0,1,0.4444444444444444,0.5555555555555556,0.3925,0.3825,0.16,3.4285714285714284,2.0,18,2,,False,12,1.0,11,2.3112309995121905,0.34285714285714286,0.2,,C_prediction_exploration_freshness
normal,1,1,adaptive,12,800,0.1,800,322,315,7,325,136,63,32,31,31,0,0,0.5079365079365079,0.49206349206349204,0.40625,0.39375,0.17,3.21875,2.0,23,2,,False,12,1.0,11,2.348305124833132,0.321875,0.2,,D_prediction_exploration_freshness_trend
