scenario,world_seed,agent_seed,strategy,n_channels,n_slots,slot_duration_s,total_scans,total_detections,true_positive_scans,false_positive_scans,on_target_scans,redundant_scans,n_activity_intervals,n_detected_intervals,n_missed_intervals,n_missed_never_scanned,n_missed_detector,n_censored_intervals,detection_rate,missed_detection_rate,on_target_scan_rate,scan_efficiency,redundant_scan_rate,mean_detection_delay_slots,median_detection_delay_slots,max_detection_delay_slots,time_to_first_detection_slots,emerging_discovery_delay_slots,emerging_discovery_censored,channels_covered,channel_coverage,coverage_time_slots,mean_decision_latency_ms,mean_detection_delay_s,time_to_first_detection_s,emerging_discovery_delay_s,predictor
normal,0,0,adaptive,12,800,0.1,800,293,280,13,287,75,63,31,32,32,0,0,0.49206349206349204,0.5079365079365079,0.35875,0.35,0.09375,3.7419354838709675,2.0,17,2,,False,12,1.0,11,0.3361298753588926,0.3741935483870968,0.2,,decaying_beta
normal,1,1,adaptive,12,800,0.1,800,266,251,15,256,89,63,30,33,33,0,1,0.47619047619047616,0.5238095238095238,0.32,0.31375,0.11125,3.566666666666667,2.0,12,2,,False,12,1.0,11,0.3306506245280616,0.3566666666666667,0.2,,decaying_beta
normal,2,2,adaptive,12,800,0.1,800,260,249,11,252,71,62,32,30,30,0,0,0.5161290322580645,0.4838709677419355,0.315,0.31125,0.08875,3.34375,2.0,15,5,,False,12,1.0,11,0.3274814997348585,0.33437500000000003,0.5,,decaying_beta
normal,3,3,adaptive,12,800,0.1,800,208,186,22,193,69,62,34,28,28,0,0,0.5483870967741935,0.45161290322580644,0.24125,0.2325,0.08625,3.823529411764706,2.0,21,2,,False,12,1.0,11,0.3469778752696584,0.3823529411764706,0.2,,decaying_beta
normal,4,4,adaptive,12,800,0.1,800,259,250,9,256,71,62,26,36,35,1,0,0.41935483870967744,0.5806451612903226,0.32,0.3125,0.08875,3.3076923076923075,2.0,13,5,,False,12,1.0,11,0.3491077498620143,0.33076923076923076,0.5,,decaying_beta
normal,5,5,adaptive,12,800,0.1,800,245,237,8,240,77,57,23,34,34,0,1,0.40350877192982454,0.5964912280701754,0.3,0.29625,0.09625,3.6956521739130435,4.0,13,5,,False,12,1.0,11,0.3335857504498563,0.3695652173913044,0.5,,decaying_beta
normal,6,6,adaptive,12,800,0.1,800,330,316,14,324,64,69,29,40,40,0,0,0.42028985507246375,0.5797101449275363,0.405,0.395,0.08,3.0,2.0,14,2,,False,12,1.0,11,0.3253896248861565,0.30000000000000004,0.2,,decaying_beta
normal,7,7,adaptive,12,800,0.1,800,279,268,11,279,67,58,29,29,29,0,0,0.5,0.5,0.34875,0.335,0.08375,2.9655172413793105,2.0,10,2,,False,12,1.0,11,0.3285836250142893,0.29655172413793107,0.2,,decaying_beta
normal,8,8,adaptive,12,800,0.1,800,308,297,11,302,82,65,43,22,22,0,0,0.6615384615384615,0.3384615384615385,0.3775,0.37125,0.1025,2.7209302325581395,2.0,14,2,,False,12,1.0,11,0.33363449980242876,0.27209302325581397,0.2,,decaying_beta
normal,9,9,adaptive,12,800,0.1,800,278,259,19,266,82,62,31,31,29,2,0,0.5,0.5,0.3325,0.32375,0.1025,3.129032258064516,3.0,8,17,,False,12,1.0,11,0.336738750920631,0.31290322580645163,1.7000000000000002,,decaying_beta
emerging_signal,0,0,adaptive,12,800,0.1,800,449,443,6,458,45,48,30,18,18,0,1,0.625,0.375,0.5725,0.55375,0.05625,4.366666666666666,3.0,26,1,8.0,False,12,1.0,11,0.32732950006902684,0.43666666666666665,0.1,0.8,decaying_beta
