scenario,world_seed,agent_seed,strategy,n_channels,n_slots,slot_duration_s,total_scans,total_detections,true_positive_scans,false_positive_scans,on_target_scans,redundant_scans,n_activity_intervals,n_detected_intervals,n_missed_intervals,n_missed_never_scanned,n_missed_detector,n_censored_intervals,detection_rate,missed_detection_rate,on_target_scan_rate,scan_efficiency,redundant_scan_rate,mean_detection_delay_slots,median_detection_delay_slots,max_detection_delay_slots,time_to_first_detection_slots,emerging_discovery_delay_slots,emerging_discovery_censored,channels_covered,channel_coverage,coverage_time_slots,mean_decision_latency_ms,mean_detection_delay_s,time_to_first_detection_s,emerging_discovery_delay_s,noise_tier
normal_noise_low,0,0,sequential,12,800,0.1,800,73,61,12,62,0,63,36,27,27,0,0,0.5714285714285714,0.42857142857142855,0.0775,0.07625,0.0,5.277777777777778,5.0,20,2,,False,12,1.0,11,0.0002499999027349986,0.5277777777777778,0.2,,low
normal_noise_low,0,0,random,12,800,0.1,800,60,49,11,50,246,63,27,36,36,0,0,0.42857142857142855,0.5714285714285714,0.0625,0.06125,0.3075,6.074074074074074,5.0,17,8,,False,12,1.0,38,0.0019402502948651088,0.6074074074074075,0.8,,low
normal_noise_low,0,0,heuristic,12,800,0.1,800,370,360,10,371,247,63,23,40,40,0,0,0.36507936507936506,0.6349206349206349,0.46375,0.45,0.30875,0.782608695652174,0.0,9,3,,False,12,1.0,14,0.004981999627489131,0.0782608695652174,0.30000000000000004,,low
normal_noise_low,0,0,adaptive,12,800,0.1,800,361,351,10,362,94,63,34,29,28,1,1,0.5396825396825397,0.4603174603174603,0.4525,0.43875,0.1175,3.411764705882353,2.5,11,2,,False,12,1.0,11,1.114751874411013,0.3411764705882353,0.2,,low
normal_noise_low,1,1,sequential,12,800,0.1,800,83,63,20,63,0,63,37,26,26,0,0,0.5873015873015873,0.4126984126984127,0.07875,0.07875,0.0,4.216216216216216,5.0,9,2,,False,12,1.0,11,0.00025837452994892374,0.4216216216216216,0.2,,low
normal_noise_low,1,1,random,12,800,0.1,800,77,58,19,61,254,63,30,33,31,2,1,0.47619047619047616,0.5238095238095238,0.07625,0.0725,0.3175,5.166666666666667,3.0,24,8,,False,12,1.0,48,0.0019582487584557384,0.5166666666666667,0.8,,low
normal_noise_low,1,1,heuristic,12,800,0.1,800,305,295,10,303,317,63,21,42,42,0,0,0.3333333333333333,0.6666666666666666,0.37875,0.36875,0.39625,3.4285714285714284,0.0,46,2,,False,12,1.0,11,0.005082249372208025,0.34285714285714286,0.2,,low
normal_noise_low,1,1,adaptive,12,800,0.1,800,320,309,11,318,118,63,32,31,31,0,0,0.5079365079365079,0.49206349206349204,0.3975,0.38625,0.1475,3.40625,2.0,11,2,,False,12,1.0,11,1.094421375200909,0.340625,0.2,,low
normal_noise_low,2,2,sequential,12,800,0.1,800,72,57,15,58,0,62,37,25,24,1,0,0.5967741935483871,0.4032258064516129,0.0725,0.07125,0.0,4.837837837837838,4.0,11,5,,False,12,1.0,11,0.0002453748311381787,0.4837837837837838,0.5,,low
normal_noise_low,2,2,random,12,800,0.1,800,71,54,17,54,252,62,26,36,36,0,0,0.41935483870967744,0.5806451612903226,0.0675,0.0675,0.315,3.730769230769231,2.0,15,6,,False,12,1.0,16,0.001789500420272816,0.3730769230769231,0.6000000000000001,,low
normal_noise_low,2,2,heuristic,12,800,0.1,800,222,211,11,217,377,62,29,33,33,0,0,0.46774193548387094,0.532258064516129,0.27125,0.26375,0.47125,1.896551724137931,0.0,41,5,,False,12,1.0,11,0.004946875014866237,0.18965517241379312,0.5,,low
normal_noise_low,2,2,adaptive,12,800,0.1,800,318,310,8,317,116,62,26,36,36,0,0,0.41935483870967744,0.5806451612903226,0.39625,0.3875,0.145,3.6923076923076925,2.0,18,5,,False,12,1.0,11,1.0917889995471342,0.36923076923076925,0.5,,low
normal_noise_low,3,3,sequential,12,800,0.1,800,76,54,22,54,0,62,38,24,24,0,0,0.6129032258064516,0.3870967741935484,0.0675,0.0675,0.0,5.026315789473684,5.0,11,2,,False,12,1.0,11,0.00032899988582357764,0.5026315789473684,0.2,,low
normal_noise_low,3,3,random,12,800,0.1,800,69,47,22,48,246,62,24,38,38,0,0,0.3870967741935484,0.6129032258064516,0.06,0.05875,0.3075,4.125,4.0,14,2,,False,12,1.0,31,0.0018571252076071687,0.41250000000000003,0.2,,low
normal_noise_low,3,3,heuristic,12,800,0.1,800,297,281,16,287,296,62,25,37,37,0,0,0.4032258064516129,0.5967741935483871,0.35875,0.35125,0.37,1.56,0.0,12,0,,False,12,1.0,12,0.004914500386803411,0.15600000000000003,0.0,,low
normal_noise_low,3,3,adaptive,12,800,0.1,800,280,263,17,273,104,62,32,30,30,0,0,0.5161290322580645,0.4838709677419355,0.34125,0.32875,0.13,3.03125,2.0,14,2,,False,12,1.0,11,1.136494625316118,0.30312500000000003,0.2,,low
normal_noise_low,4,4,sequential,12,800,0.1,800,79,60,19,63,0,62,36,26,25,1,0,0.5806451612903226,0.41935483870967744,0.07875,0.075,0.0,4.972222222222222,5.0,17,5,,False,12,1.0,11,0.00026950063329422846,0.49722222222222223,0.5,,low
normal_noise_low,4,4,random,12,800,0.1,800,63,48,15,49,249,62,27,35,34,1,1,0.43548387096774194,0.5645161290322581,0.06125,0.06,0.31125,7.111111111111111,5.0,29,8,,False,12,1.0,26,0.0018792494665831327,0.7111111111111111,0.8,,low
normal_noise_low,4,4,heuristic,12,800,0.1,800,267,259,8,264,355,62,19,43,42,1,0,0.3064516129032258,0.6935483870967742,0.33,0.32375,0.44375,4.7368421052631575,0.0,85,3,,False,12,1.0,11,0.00503237472003093,0.47368421052631576,0.30000000000000004,,low
normal_noise_low,4,4,adaptive,12,800,0.1,800,308,300,8,308,119,62,28,34,32,2,0,0.45161290322580644,0.5483870967741935,0.385,0.375,0.14875,4.821428571428571,3.0,22,5,,False,12,1.0,11,1.1375225002484513,0.48214285714285715,0.5,,low
normal_noise_low,5,5,sequential,12,800,0.1,800,68,52,16,52,0,57,31,26,26,0,1,0.543859649122807,0.45614035087719296,0.065,0.065,0.0,4.290322580645161,4.0,11,5,,False,12,1.0,11,0.00024412547645624727,0.4290322580645161,0.5,,low
normal_noise_low,5,5,random,12,800,0.1,800,55,40,15,41,240,57,19,38,37,1,0,0.3333333333333333,0.6666666666666666,0.05125,0.05,0.3,5.947368421052632,4.0,24,4,,False,12,1.0,29,0.0019048752801609226,0.5947368421052632,0.4,,low
normal_noise_low,5,5,heuristic,12,800,0.1,800,222,210,12,212,384,57,22,35,34,1,1,0.38596491228070173,0.6140350877192983,0.265,0.2625,0.48,5.136363636363637,0.0,75,8,,False,12,1.0,14,0.004918250306218397,0.5136363636363637,0.8,,low
normal_noise_low,5,5,adaptive,12,800,0.1,800,307,298,9,303,95,57,31,26,26,0,0,0.543859649122807,0.45614035087719296,0.37875,0.3725,0.11875,3.6774193548387095,3.0,13,5,,False,12,1.0,11,1.085698999959277,0.36774193548387096,0.5,,low
normal_noise_low,6,6,sequential,12,800,0.1,800,76,66,10,68,0,69,36,33,32,1,0,0.5217391304347826,0.4782608695652174,0.085,0.0825,0.0,4.527777777777778,5.0,11,2,,False,12,1.0,11,0.00024324985133716834,0.4527777777777778,0.2,,low
normal_noise_low,6,6,random,12,800,0.1,800,80,61,19,62,250,69,29,40,40,0,1,0.42028985507246375,0.5797101449275363,0.0775,0.07625,0.3125,4.758620689655173,1.0,36,0,,False,12,1.0,22,0.0018072495731757954,0.4758620689655173,0.0,,low
normal_noise_low,6,6,heuristic,12,800,0.1,800,404,393,11,403,223,69,22,47,47,0,0,0.3188405797101449,0.6811594202898551,0.50375,0.49125,0.27875,1.3181818181818181,0.0,15,2,,False,12,1.0,12,0.004865874543611426,0.1318181818181818,0.2,,low
normal_noise_low,6,6,adaptive,12,800,0.1,800,374,361,13,372,86,69,33,36,36,0,0,0.4782608695652174,0.5217391304347826,0.465,0.45125,0.1075,2.3636363636363638,2.0,13,2,,False,12,1.0,11,1.09968637523707,0.2363636363636364,0.2,,low
