scenario,world_seed,strategy,hot_then_quiet_rate_before,hot_then_quiet_rate_after,hot_then_quiet_scans_before,hot_then_quiet_scans_after,quiet_then_hot_rate_before,quiet_then_hot_rate_after,quiet_then_hot_scans_before,quiet_then_hot_scans_after
changing_distribution,0,sequential,0.7549019607843137,0.030303030303030304,102,99,0.030303030303030304,0.8080808080808081,99,99
changing_distribution,0,random,0.7777777777777778,0.021052631578947368,90,95,0.02586206896551724,0.8,116,100
changing_distribution,0,heuristic,0.8635097493036211,0.023622047244094488,359,381,0.0,1.0,12,3
changing_distribution,0,adaptive,0.9133333333333333,0.027777777777777776,300,36,0.06060606060606061,0.9047619047619048,33,294
changing_distribution,1,sequential,0.8333333333333334,0.010101010101010102,102,99,0.0,0.7272727272727273,99,99
changing_distribution,1,random,0.8604651162790697,0.009345794392523364,86,107,0.0,0.75,116,92
changing_distribution,1,heuristic,0.8661202185792349,0.03943661971830986,366,355,0.0,0.6129032258064516,13,31
changing_distribution,1,adaptive,0.8966666666666666,0.0,300,57,0.0,0.8864468864468864,33,273
changing_distribution,2,sequential,0.7254901960784313,0.010101010101010102,102,99,0.010101010101010102,0.8181818181818182,99,99
changing_distribution,2,random,0.7894736842105263,0.04716981132075472,95,106,0.0392156862745098,0.8095238095238095,102,105
changing_distribution,2,heuristic,0.7945205479452054,0.05305039787798409,365,377,0.0,0.8,14,5
changing_distribution,2,adaptive,0.8766666666666667,0.02857142857142857,300,35,0.0,0.9050847457627119,33,295
changing_distribution,3,sequential,0.8725490196078431,0.030303030303030304,102,99,0.0,0.7676767676767676,99,99
changing_distribution,3,random,0.85,0.02912621359223301,100,103,0.0,0.8222222222222222,93,90
changing_distribution,3,heuristic,0.8695652173913043,0.058823529411764705,368,357,0.0,0.6666666666666666,13,9
changing_distribution,3,adaptive,0.9333333333333333,0.025,300,40,0.0,0.9,33,290
changing_distribution,4,sequential,0.8333333333333334,0.050505050505050504,102,99,0.030303030303030304,0.8585858585858586,99,99
changing_distribution,4,random,0.851063829787234,0.0392156862745098,94,102,0.046296296296296294,0.8648648648648649,108,111
changing_distribution,4,heuristic,0.8356164383561644,0.050724637681159424,365,276,0.0,0.9,13,100
changing_distribution,4,adaptive,0.919732441471572,0.02564102564102564,299,39,0.058823529411764705,0.9278350515463918,34,291
changing_distribution,5,sequential,0.7058823529411765,0.020202020202020204,102,99,0.0707070707070707,0.8282828282828283,99,99
changing_distribution,5,random,0.6923076923076923,0.028846153846153848,104,104,0.0,0.801980198019802,90,101
changing_distribution,5,heuristic,0.7768595041322314,0.03153153153153153,363,222,0.0,0.8709677419354839,15,155
changing_distribution,5,adaptive,0.8966666666666666,0.02857142857142857,300,35,0.030303030303030304,0.9050847457627119,33,295
changing_distribution,6,sequential,0.8431372549019608,0.020202020202020204,102,99,0.030303030303030304,0.8585858585858586,99,99
changing_distribution,6,random,0.8969072164948454,0.0425531914893617,97,94,0.06956521739130435,0.8411214953271028,115,107
changing_distribution,6,heuristic,0.928374655647383,0.014423076923076924,363,208,0.0,0.8497109826589595,12,173
changing_distribution,6,adaptive,0.9364548494983278,0.075,299,40,0.058823529411764705,0.9137931034482759,34,290
changing_distribution,7,sequential,0.8235294117647058,0.04040404040404041,102,99,0.04040404040404041,0.7676767676767676,99,99
changing_distribution,7,random,0.8673469387755102,0.04,98,100,0.01818181818181818,0.7777777777777778,110,117
changing_distribution,7,heuristic,0.7955801104972375,0.030211480362537766,362,331,0.07142857142857142,0.9387755102040817,14,49
changing_distribution,7,adaptive,0.93,0.05263157894736842,300,38,0.030303030303030304,0.8938356164383562,33,292
changing_distribution,8,sequential,0.803921568627451,0.0,102,99,0.04040404040404041,0.8585858585858586,99,99
changing_distribution,8,random,0.8229166666666666,0.046511627906976744,96,86,0.04081632653061224,0.8514851485148515,98,101
changing_distribution,8,heuristic,0.842391304347826,0.04838709677419355,368,372,0.0,0.8333333333333334,12,6
changing_distribution,8,adaptive,0.91,0.022222222222222223,300,45,0.0,0.9017543859649123,33,285
changing_distribution,9,sequential,0.7941176470588235,0.030303030303030304,102,99,0.08080808080808081,0.797979797979798,99,99
