metric,strategy_a,strategy_b,n,mean_a,mean_b,mean_diff,cohen_d,t_statistic,t_pvalue,wilcoxon_statistic,wilcoxon_pvalue,significant_0_05,note,scenario
detection_rate,sequential,adaptive,30,0.18477761436511198,0.1953097415460513,0.01053212718093932,0.3602833994982898,1.9733534499985879,0.05805267285554579,142.0,0.10255327797730067,False,,bursty
mean_detection_delay_slots,sequential,adaptive,30,1.2469076634994223,1.1951839709486,-0.05172369255082235,-0.16522094492360997,-0.9049523850697985,0.37294775029078614,171.0,0.21293285302817822,False,,bursty
scan_efficiency,sequential,adaptive,30,0.049749999999999996,0.11216666666666668,0.06241666666666667,2.773208442383004,15.18948820556937,2.4288049768882528e-15,0.0,1.7278603148724103e-06,True,,bursty
on_target_scan_rate,sequential,adaptive,30,0.05108333333333334,0.11620833333333333,0.065125,2.800257598341969,15.337642534371371,1.8890504929265617e-15,0.0,1.7289484360195754e-06,True,,bursty
redundant_scan_rate,sequential,adaptive,30,0.0,0.04804166666666666,0.04804166666666666,4.1802563316966665,22.896206890240624,4.078347868925413e-20,0.0,1.711606992411454e-06,True,,bursty
detection_rate,random,adaptive,30,0.1639251342939819,0.1953097415460513,0.0313846072520694,0.9462026234191504,5.182565208172346,1.5270874265151933e-05,45.0,3.049522638320923e-05,True,,bursty
mean_detection_delay_slots,random,adaptive,30,1.022583413036558,1.1951839709486,0.17260055791204182,0.4841858142040169,2.651994924635453,0.012836923871605892,124.0,0.024786051362752914,True,,bursty
scan_efficiency,random,adaptive,30,0.04829166666666667,0.11216666666666668,0.063875,2.65548617117337,14.544696770946794,7.418794696057487e-15,0.0,1.7311263949197288e-06,True,,bursty
on_target_scan_rate,random,adaptive,30,0.049791666666666665,0.11620833333333333,0.06641666666666667,2.747020284639431,15.046049758212787,3.1036035366216802e-15,0.0,1.732216233144114e-06,True,,bursty
redundant_scan_rate,random,adaptive,30,0.3041250000000001,0.04804166666666666,-0.25608333333333333,-12.23749991104732,-67.0275474874808,2.3507762967684776e-33,0.0,1.7289484360195754e-06,True,,bursty
detection_rate,heuristic,adaptive,30,0.1714658638172373,0.1953097415460513,0.023843877728813977,0.6495631711059905,3.557804013393389,0.0013090993861939754,80.0,0.00294638371397811,True,,bursty
mean_detection_delay_slots,heuristic,adaptive,30,0.24478870532808586,1.1951839709486,0.950395265620514,4.317718908817142,23.649120433257398,1.6712591109604575e-20,0.0,1.862645149230957e-09,True,,bursty
